column15,column16,column17
H6WA06021,TACOMA,WA
H6WA06203,WESTPORT,WA
H6WA06211,TACOMA,WA
H6WA06229,MANCHESTER,WA
H6WA06237,PORT TOWNSEND,WA
H6WA07409,SEATTLE,WA
H6WA07425,SEATTLE,WA
H6WA07433,SEATTLE,WA
H6WA07441,SEATTLE,WA
H6WA07458,SEATTLE,WA
H6WA07466,BURIEN,WA
H6WA07474,SEATTLE,WA
H6WA07482,SEATTLE,WA
H6WA08068,REDMOND,WA
H6WA08076,ISSAQUAH,WA
H6WA08084,ISSAQUAH,WA
H6WA08092,ISSAQUAH,WA
H6WA08100,ELLENSBURG,WA
H6WA08118,APACHE JUNCTION ,AZ
H6WA09025,RENTON,WA
H6WA09058,SEATTLE,WA
H6WA09066,BELLEVUE,WA
H6WA09074,RENTON,WA
H6WA10015,LAKEWOOD,WA
H6WI01176,JANESVILLE,WI
H6WI01184,DELAVAN,WI
H6WI01192,MOUNT PLEASANT,WI
H6WI01200,JANESVILLE,WI
H6WI01226,DELAVAN,WI
H6WI01234,JANESVILLE,WI
H6WI03099,LA CROSSE,WI
H6WI03164,EAU CLAIRE,WI
H6WI04055,MILWAUKEE,WI
H6WI04063,MILWAUKEE,WI
H6WI05102,NEW BERLIN,WI
H6WI05110,HARTLAND,WI
H6WI05128,BROOKFIELD,WI
H6WI06100,PORTAGE,WI
H6WI06118,MEQUON,WI
H6WI06126,MARIBEL,WI
H6WI07033,WAUSAU,WI
H6WI07140,MINOCQUA,WI
H6WI07157,WAUSAU,WI
H6WI07165,SCHOFIELD,WI
H6WI07173,WAUSAU,WI
H6WI07181,RICE LAKE,WI
H6WI08130,FORESTVILLE,WI
H6WI08148,WAUSAUKEE,WI
H6WI08155,GREEN BAY,WI
H6WI08163,KAUKAUNA,WI
H6WI08171,LUXEMBURG,WI
H6WI08189,DE PERE,WI
H6WV01087,GRAFTON,WV
H6WV01095,GRAFTON,WV
H6WV02093,MARTINSBURG,WV
H6WV02101,CHARLESTON,WV
H6WV02119,MARTINSBURG,WV
H6WV02127,NITRO,WV
H6WV02135,SPENCER,WV
H6WV03091,LEWISBURG,WV
H6WV03109,SPENCER ,WV
H6WV03117,PRINCETON ,WV
H6WV04057,BECKLEY,WV
H6WY00134,POWELL,WY
H6WY00142,ALTA,WY
H6WY00159,CASPER,WY
H6WY00167,CHEYENNE,WY
H6WY00175,LARAMIE,WY
H6WY00183,EVANSTON,WY
H6WY00191,CASPER,WY
H6WY01033,BROOKLYN,NY
H6WY01041,CASPER,WY
H6WY01058,CASPER,WY
H6WY01066,BUFORD,WY
H6WY01074,ROCK SPRINGS,WY
H6WY01082,CHEYENNE,WY
H6WY01090,GILLETTE,WY
H8AK00116,KODIAK,AK
H8AL02080,MONTGOMERY,AL
H8AL03039,AUBURN,AL
H8AR04106,PARIS ARKANSAS,AR
H8AZ01104,FLAGSTAFF,AZ
H8AZ01138,PHOENIX,AZ
H8AZ01146,FLAGSTAFF,AZ
H8AZ02094,SURPRISE,AZ
H8AZ03134,PARADISE VALLEY,AZ
H8AZ06012,APACHE JUNCTION,AZ
H8AZ06038,CHANDLER,AZ
H8AZ06053,CHANDLER,AZ
H8AZ08034,TUCSON,AZ
H8C006211,LITTLETON,CO
H8CA00069,VENTURA,CA
H8CA00085,WEED,CA
H8CA00101,CARPINTERIA,CA
H8CA00119,SANTA PAULA,CA
H8CA01109,NAPA,CA
H8CA01182,MENDOCINO,CA
H8CA03105,ELK GROVE,CA
H8CA04152,ROSEVILLE,CA
H8CA05035,SAN FRANCISCO,CA
H8CA05134,ANTELOPE,CA
H8CA07031,PINOLE,CA
H8CA08062,SAN FRANCISCO,CA
H8CA09060,OAKLAND,CA
H8CA12098,SACRAMENTO,CA
H8CA12171,BURLINGAME,CA
H8CA17089,SPECKELS,CA
H8CA20059,VISALIA,CA
H8CA22089,SANTA BARBARA,CA
H8CA23087,SAN LUIS OBISPO,CA
H8CA27088,PORTER RANCH,CA
H8CA32039,LONG BEACH,CA
H8CA32062,MONROVIA,CA
H8CA34068,NORWALK,CA
H8CA34100,LOS ANGELES,CA
H8CA34118,LOS ANGELES,CA
H8CA34126,SACRAMENTO,CA
H8CA34134,LOS ANGELES,CA
H8CA34142,LOS ANGELES,CA
H8CA34159,SAN JOSE,CA
H8CA34167,LONG BEACH,CA
H8CA34175,LOS ANGELES,CA
H8CA36097,LOS ANGELES,CA
H8CA37079,REDLANDS,CA
H8CA37137,LONG BEACH,CA
H8CA37160,LONG BEACH,CA
H8CA37228,LONG BEACH,CA
H8CA37277,LONG BEACH,CA
H8CA40057,WASHINGTON,DC
H8CA41063,DIAMOND BAR,CA
H8CA41139,TWENTYNINE PALMS,CA
H8CA42061,NEWPORT BEACH,CA
H8CA42194,SILVERADO,CA
H8CA42210,MISSION VIEJO,CA
H8CA44034,PALM SPRINGS,CA
H8CA45106,PALM DESERT,
H8CA45114,PALM DESERT,CA
H8CA46104,HUNTINGTON BEACH,CA
H8CA47045,GARDEN GROVE,CA
H8CA47052,BREA,CA
H8CA50049,ESCONDIDO,CA
H8CA51039,SPRING VALLEY,CA
H8CA52052,EL CAJON,CA
H8CO02087,ELDORADO SPRINGS,CO
H8CO02137,BOULDER,CO
H8CO04059,FORT COLLINS,CO
H8CO06138,GREENWOOD VILLAGE,CO
H8CO06153,GREENWOOD VILLAGE,CO
H8CO06161,HIGHLANDS RANCH,CO
H8CO06195,CENTENNIAL,CO
H8CO07029,DENVER,CO
H8CT01046,EAST HARTFORD,CT
H8CT01111,WEST HARTFORD,CT
H8CT01129,HARTFORD,CT
H8CT02077,LEBANON,CT
H8CT02085,PLAINFIELD,CT
H8CT04057,NORWALK,CT
H8CT04172,COS COB,CT
H8CT05120,DANBURY,CT
H8CT05138,CANTON,CT
H8CT05153,WATERTOWN,CT
H8DC00143,WASHINGTON,DC
H8DC00184,WASHINGTON,DC
H8DE00046,NEW CASTLE,DE
H8FL00026,BOYNTON,FL
H8FL00034,SOUTH MIAMI,FL
H8FL01099,LAUREL HILL,FL
H8FL02063,TALLAHASSEE,FL
H8FL02071,TALLAHASSEE,FL
H8FL06056,OCALA,FL
H8FL14167,BONITA SPRINGS,FL
H8FL14175,TAMPA,FL
H8FL15073,SATELLITE BEACH,FL
H8FL15107,MELBOURNE,FL
H8FL16022,OKEECHOBEE,FL
H8FL19042,WEST PALM BEACH,FL
H8FL19059,WEST PALM BEACH,FL
H8FL21022,MIAMI,FL
H8FL21048,MIAMI,FL
H8FL22038,PLANTATION,FL
H8FL24018,ORLANDO,FL
H8FL24042,PORT ORANGE,FL
H8FL25015,MIAMI,FL
H8GA01030,SAINT SIMONS INLAND,GA
H8GA02053,ALBANY,GA
H8GA06112,JONESBORO,GA
H8GA06179,ROSWELL,GA
H8GA06187,ATLANTA,GA
H8GA09041,CHICKAMAUGA,GA
H8GA10049,ATHENS,GA
H8GA10056,ATLANTA,GA
H8GA10072,ATLANTA,GA
H8GA10122,JEFFERSON,GA
H8GA11013,ROME,GA
H8GA11021,ACWORTH,GA
H8GU00022,BARRIGADA,GU
H8HI01168,HONOLULU,HI
H8IA02043,OTTUMWA,IA
H8IA03082,URBANDALE,IA
H8IA04015,AMES,IA
H8ID02064,BLACKFOOT,ID
H8ID02114,BOISE,ID
H8IL01098,CHICAGO,IL
H8IL04084,CHICAGO,IL
H8IL05065,CHICAGO,IL
H8IL05099,CHICAGO,IL
H8IL08044,BARRINGTON,IL
H8IL08069,LINDENHURST,IL
H8IL09067,EVANSTON,IL
H8IL10099,VERNON HILLS,IL
H8IL13069,NAPERVILLE,IL
H8IL13101,WARRENVILLE,IL
H8IL13135,LISLE,IL
H8IL14059,AURORA,IL
H8IL14067,NAPERVILLE,IL
H8IL14075,AURORA,IL
H8IL14117,GENEVA,IL
H8IL18043,PEORIA,IL
H8IL21021,BELLEVILLE,IL
H8IN01096,HIGHLAND,IN
H8IN05121,GAS CITY,IN
H8IN07150,INDIANAPOLIS,IN
H8IN07176,INDIANAPOLIS,IN
H8IN07184,INDIANAPOLIS,IN
H8IN07218,INDIANAPOLIS,IN
H8IN07234,INDIANAPOLIS,IN
H8IN07259,INDIANAPOLIS,IN
H8KS02090,TOPEKA,KS
H8KS03072,OVERLAND PARK,KS
H8KY01058,CADIZ,KY
H8KY02031,BOWLING GREEN,KY
H8LA01056,MANDEVILLE,LA
H8LA02054,NEW ORLEANS,LA
H8LA02062,NEW ORLEANS,LA
H8LA02112,NEW ORLEANS,LA
H8LA04225,MINDEN,LA
H8LA04241,SHREVEPORT,LA
H8LA04258,SHREVEPORT,LA
H8LA06055,BATON ROUGE,LA
H8MA01035,WEST SPRINGFIELD,MA
H8MA02041,SPRINGFIELD,MA
H8MA05143,LOWELL,MA
H8MA05150,ACTON,MA
H8MA06083,WEST NEWBURY,MA
H8MA08071,SOMERVILLE,MA
H8MA08170,WALPOLE,MA
H8MA15019,FUCK,MA
H8MD00013,BETHESDA,MD
H8MD00039,BALTIMORE,MD
H8MD01094,STEVENSVILLE,MD
H8MD01110,CENTREVILLE,MD
H8MD01128,ELKTON,MD
H8MD01144,BEL AIR,MD
H8MD03082,BALTIMORE,MD
H8MD04064,ANNAPOLIS,MD
H8MD04155,CLINTON,MD
H8MD06085,MIDDLETOWN,MD
H8MD07042,JESSUP,MD
H8ME01120,NORTH HAVEN,ME
H8MI01107,ESCANABA,MI
H8MI02089,MANISTEE,MI
H8MI05074,CARO,MI
H8MI05108,OAK PARK,MI
H8MI07039,DETROIT,MI
H8MI08086,BYRON,MI
H8MI09068,DETROIT,MI
H8MI11205,WATERFORD,MI
H8MN02061,BURNSVILLE,MN
H8MN03069,WAYZATA,MN
H8MN03077,EDEN PRAIRIE,MN
H8MN05098,MINNEAPOLIS,MN
H8MN06047,BURNSVILLE,MN
H8MN06088,WOODBURY,MN
H8MO02158,ST LOUIS,MO
H8MO03131,ST LOUIS,MO
H8MO05110,INDEPENDENCE,MO
H8MO06076,OAK GROVE,MO
H8MO09104,HDTS SUMMIT,MO
H8MO09153,ST ELIZABETH,MO
H8MP00041,SAIPAN,MP
H8MS02051,BYRAM,MS
H8MS03067,PEARL,MS
H8MS03091,PICKENS,MS
H8MT01141,MISSOULA,MT
H8NC03043,JACKSONVILLE,NC
H8NC05055,WINSTON-SALEM,NC
H8NC07044,LUMBERTON,NC
H8NC07093,WASHINGTON,DC
H8NC08075,LAURINBURG,NC
H8NC09107,ASH,NC
H8NC10030,LENOIR,NC
H8NC13018,RALEIGH,NC
H8NC13026,REIDSVILLE,NC
H8NE02139,OMAHA,NE
H8NE02204,OMAHA,NE
H8NE02212,BELLEVUE,NE
H8NH01111,DANVILLE,NH
H8NH02192,NASHUA,NH
H8NJ02117,MILLVILLE,NJ
H8NJ03073,LONG BRANCH,NJ
H8NJ04014,HAMILTON,NJ
H8NJ04154,EAST WINDSOR,NJ
H8NJ05052,SUSSEX,NJ
H8NJ06118,WARREN,NJ
H8NJ07132,BRIDGEWATER,NJ
H8NJ09088,LAVALLETTE,NJ
H8NJ12082,OCEANPORT,NJ
H8NM01224,ALBUQUERQUE,NM
H8NM01257,ALBUQUERQUE,NM
H8NM01265,ALBUQUERQUE,NM
H8NM01299,ALBUQUERQUE,NM
H8NM01307,ALBUQUERQUE,NM
H8NM03196,SANTA FE,NM
H8NV02079,CARSON CITY,NV
H8NV03036,LAS VEGAS,NV
H8NY01148,SHIRLEY,NY
H8NY03128,HICKSVILLE,NY
H8NY04050,GARDEN CITY,NJ
H8NY05081,FLUSHING,NY
H8NY06048,JAMAICA,NY
H8NY06105,ST ALBANS,NY
H8NY07046,WOODSIDE,NY
H8NY09117,FOREST HILLS,NY
H8NY13069,BROOKLYN,NY
H8NY13085,STATEN ISLAND,NY
H8NY15122,NEW YORK,NY
H8NY16088,MOUNT VERNON,NY
H8NY19058,WASHINGTON,DC
H8NY19140,PEEKSKILL,NY
H8NY19157,CORTLAND MANOR,NY
H8NY19165,WALDEN,NY
H8NY20056,WHITE PLAINS,NY
H8NY20080,SCARSDALE,NY
H8NY20148,CLIFTON PARK,NY
H8NY21161,ALBANY,NY
H8NY21203,ALBANY,NY
H8NY22045,CLIFTON PARK,NY
H8NY22136,RHINEBECK,NY
H8NY23118,PHOENIX,NY
H8NY24066,UTICA,NY
H8NY26087,BATAVIA,NY
H8NY26103,LANCASTER,NY
H8NY27036,SYRACUSE,NY
H8NY27077,E AMHERST,NY
H8NY29032,CLARENCE,NY
H8OH01043,CINCINNATI,OH
H8OH01076,CINCINNATI,OH
H8OH02041,WAYNESVILLE,OH
H8OH02074,WAVERLY,OH
H8OH02108,MILFORD,OH
H8OH03098,DAYTON,OH
H8OH05036,BOWLING GREEN,OH
H8OH07057,STOUTSVILLE,OH
H8OH07065,BEAVERCREEK,OH
H8OH07099,YELLOW SPRINGS,OH
H8OH11059,CLEVELAND,OH
H8OH11141,WARRENSVILLE HEIGH,OH
H8OH11182,MAPLE HEIGHTS,OH
H8OH11190,CLEVELAND,OH
H8OH11273,CLEVELAND,OH
H8OH12057,COLUMBUS,OH
H8OH12073,NEWARK,OH
H8OH13097,BRUNSWICK,OH
H8OH14087,SOUTH RUSSELL,OH
H8OH15076,COLUMBUS,OH
H8OH15100,COLUMBUS,OH
H8OH16066,CANTON,OH
H8OH18088,MOUNT VERNON,OH
H8OK02122,GROVE,OK
H8OR04134,CORVALLIS,OR
H8OR05107,CANBY,OR
H8PA01153,WASHINGTON,DC
H8PA01229,PHILADELPHIA,PA
H8PA03092,ERIE,PA
H8PA04082,PITTSBURGH,PA
H8PA05071,HOWARD,PA
H8PA12044,JOHNSTOWN,PA
H8PA12051,ROSCOE,PA
H8PA13075,FLOURTOWN,PA
H8PA13091,HORSHAM,PA
H8PA16052,LANCASTER,PA
H8PA18116,PITTSBURGH,PA
H8PA18132,PITTSBURGH,PA
H8PA18140,PITTSBURGH,PA
H8PR00062,GUAYNABO,PR
H8PR00070,MIRAMAR SJ,PR
H8RI00011,WARREN,RI
H8SC02098,LEXINGTON,SC
H8SD01055,MITCHELL,SD
H8TN02069,KNOXVILLE,TN
H8TN05245,MT JULIET,TN
H8TN05260,NASHVILLE,TN
H8TN07043,ARLINGTON,TN
H8TN08033,UNION CITY,TN
H8TN09064,MEMPHIS,TN
H8TN09072,MEMPHIS,TN
H8TX00020,SUGARLAND,TX
H8TX05052,DALLAS,TX
H8TX06035,WACO,TX
H8TX06175,ARLINGTON,TX
H8TX10060,AUSTIN,TX
H8TX11076,SNYDER,TX
H8TX14104,LEAGUE CITY,TX
H8TX20127,LEANDER,TX
H8TX21125,SAN ANTONIO,TX
H8TX22107,SUGAR LAND,TX
H8TX22123,SUGAR LAND,TX
H8TX22198,MISSOURI CITY,TX
H8TX28039,SAN ANTONIO,TX
H8TX28203,SEGUIN,TX
H8TX30035,DALLAS,TX
H8TX32031,DALLAS,TX
H8TX32056,RICHARDSON,TX
H8UT03089,ALPINE,UT
H8VA01147,MONTROSS,VA
H8VA01196,LYNCHBURG,VA
H8VA05106,IVY,VA
H8VA07037,KENTS STORE,VA
H8VA09041,CHRISTIANSBURG,VA
H8VA11039,FALLS CHURCH,VA
H8VA11062,FAIRFAX,VA
H8WA02158,SNOHOMISH,WA
H8WA03156,WASHOUGAL,WA
H8WA05110,CLARKSTON,WA
H8WA05144,NEWMAN LAKE,WA
H8WA05169,SPOKANE,WA
H8WA07132,SEATTLE,WA
H8WA08072,ORTING,WA
H8WA08080,AUBURN,WA
H8WA08098,BELLEVUE,WA
H8WA09047,STEILACOOM,WA
H8WI00018,MADISON,WI
H8WI01024,JANESVILLE,WI
H8WI02121,MADISON,WI
H8WI03087,BLACK RIVER FALLS,WI
H8WI05132,WAUKESHA,WI
H8WI06056,LOMIRA,WI
H8WI09050,MENOMONEE FALLS,WI
H8WV02073,MARTINSBURG,WV
H8WY00148,CHEYENNE,WY
P00000679,STOCKTON,CA
P00000729,GERMANTOWN,MD
P00001099,STRONGSVILLE,OH
P00002295,MANAHAWKIN,NJ
P00003236,KEALAKEKUA,HI
P00003244,POTTSTOWN,PA
P00003335,WASHINGTON,DC
P00003343,KELLY,NC
P00003392,NEW YORK,NY
P00003491,ARLINGTON,VA
P00003608,STOCKBRIDGE,GA
P00003640,LANCASTER,CA
P00003715,NEWPORT NEWS,VA
P00003731,NEW YORK,NY
P00003756,POINT MARION,PA
P00003772,MIRA LOMA,CA
P00003814,WASHINGTON,DC
P00003897,TUSCALOOSA,AL
P00003962,BLUFFTON,OH
P00004135,PHILADELPHIA,PA
P00004275,NAMPA,ID
P00004424,NEWINGTON,CT
P00004523,NEWPORT,OR
P00004580,SPRINGFIELD,CO
P00004705,PINELLAS PARK,FL
P00004846,SUNNYSIDE,NY
P00004861,BRUNSWICK,OH
P00004887,PHILADELPHIA,PA
P00004903,CHICAGO,IL
P00004911,PUYALLUP,WA
P00004929,RIO RANCHO,NM
P00004937,TULSA,OK
P00004945,COBLESKILL,NY
P00004952,SAN ANTONIO,TX
P00004960,RESTON,VA
P00004978,CHICAGO,IL
P00004986,RAEFORD,NC
P00004994,GERMANTOWN,MD
P00005009,CANTON,OH
P00005017,FOSTER CITY,CA
P00005033,DALLAS,TX
P00005041,CORTLANDT MANOR,NY
P00005058,LAKEVILLE,MA
P00005066,CHARLOTTE,NC
P00005074,SAN DIEGO,CA
P00005082,SPRING,TX
P00005090,TULSA,OK
P00005108,STUTTGART,AR
P00005116,MEMPHIS,TN
P00005132,LAS VEGAS,NV
P00005181,EASTLAKE,OH
P00005199,SAN ANTONIO,TX
P00005207,ATHENS,TN
P00005215,LOS ANGELES,CA
P00005223,SIOUX FALLS,SD
P00005231,PONTIAC,MI
P00005249,KINGSTON,TN
P00005256,BROOKLYN,NY
P00005264,SAN DIEGO,CA
P00005272,BRUNSWICK,GA
P00005280,EAST ORANGE,NJ
P00005298,OLD HICKORY,TN
P00005314,GREENFIELD,WI
P00005322,TIFTON,GA
P00005330,WAUKESHA,WI
P00005348,FLOWER MOUND,TX
P00005355,CLEVELAND,OH
P00005363,JOHNSTON,IA
P00005371,WADSWORTH,OH
P00005389,SPOKANE,WA
P00005397,CHICAGO,IL
P00005421,MAPLE VALLEY,WA
P00005439,CHULA VISTA,CA
P00005454,LOS ANGELES,CA
P00005462,RINGGOLD,GA
P00005470,BAKER,LA
P00005488,SACRAMENTO,CA
P00005496,WAXAHACHIE,TX
P00005504,HASBROUCK HEIGHTS,NJ
P00005512,BOCA RATON,FL
P10000016,FRISCO,TX
P20000089,HURRICANE,WV
P20000550,NEW RICHMOND,OH
P20001145,NEW LONDON,CT
P20001905,MOUNT EAGLE,VA
P20001921,SAINT HELEN,MI
P20001954,PARKSLEY,VA
P20002002,VANCOUVER,WA
P20002036,STUDIO CITY,CA
P20002044,GIPSY,MO
P20002051,SAN JUAN ,PR
P20002069,WAUSAU,WI
P20002085,COLUMBIA FALLS,MT
P20002101,FOND DU LAC,WI
P20002176,RICHMOND,VA
P20002192,MAIMI,FL
P20002226,SOUTH LAKE TAHOE,CA
P20002234,SOUTH LAKE TAHOE,CA
P20002242,EL PASO,TX
P20002283,MILTON,FL
P20002291,CENTRAL FALL,RI
P20002309,GRAYSON,GA
P20002317,ABINGDON,VA
P20002341,INDIANAPOLIS,IN
P20002366,BAKERSFIELD,CA
P20002374,BELEN,NM
P20002408,BOSSIER CITY,LA
P20002416,YUCCA VALLEY,CA
P20002432,JUPITER,FL
P20002440,BROOKLYN,NY
P20002481,FLUSHING,NY
P20002499,FORESTHILL,CA
P20002531,NORTHBRIDGE,MA
P20002580,MIAMI,FL
P20002598,HEREFORD,TX
P20002614,SHEBOYGAN,WI
P20002622,OWENSBORO,KY
P20002630,FREDERICKSBURG,VA
P20002663,SHINNSTON,WV
P20002671,SALT LAKE CITY,UT
P20002689,DENTON,TX
P20002705,QUINCY,FL
P20002713,SANTA ANA,CA
P20002721,VERONA,PA
P20002747,CHATSWORTH,GA
P20002796,BUFFALO,NY
P20002820,PENSACOLA,FL
P20002838,LOUISVILLE,KY
P20002861,GAYLORD,MI
P20002929,GALVESTON ISLAND,TX
P20002937,NEWPORT NEWS,VA
P20002978,WOODBURY,MN
P20002986,CENTERPORT,NY
P20003000,LOCKPORT,NY
P20003018,FREDERICKSBURG,VA
P20003034,VICTORVILLE,CA
P20003042,HIGHSPIRE,PA
P20003075,SALEM,MO
P20003083,PLEASANT HILL,CA
P20003091,FULLERTON,CA
P20003109,LIVONIA,MI
P20003141,AZLE,TX
P20003158,CHARLESTON,WV
P20003174,OAK HARBOR,WA
P20003182,SPOKANE,WA
P20003190,FRUITPORT,MI
P20003232,DONNA,TX
P20003257,SHOW LOW,AZ
P20003281,AUSTIN,TX
P20003307,MIAMI,FL
P20003315,CHARLOTTE,NC
P20003323,CHICAGO,IL
P20003349,GARDEN GROVE,CA
P20003372,OGDEN ,UT
P20003414,FORT WORTH,TX
P20003513,PALM BAY,FL
P20003588,BIRMINGHAM,AL
P20003604,SELMA,NC
P20003612,LACEY,WA
P20003653,JACKSONVILLE,FL
P20003695,OZARK,MO
P20003729,GUYTON,GA
P20003745,POWELL,TN
P20003828,ASHBURN,VA
P20003844,NORTH MIAMI,FL
P20003877,BRADENTON,FL
P20003893,ALPINE,TX
P20003901,FORT WAYNE,IN
P20003968,MURRIETA,CA
P20003976,DELRAY BEACH,FL
P20003984,LEXINGTON,MA
P20004008,FAIRLESS HILLS,PA
P20004016,LAGUNA HILLS,CA
P20004040,LOS ANGELES,CA
P20004065,CHARLOTTE,NC
P20004073,COOKEVILLE,TN
P20004081,MIRAMAR BEACH,FL
P20004099,FT WORTH,TX
P20004115,WICHITA FALLS,TX
P20004131,HOLLYWOOD,CA
P20004149,RANCHO SANTA FE,CA
P20004156,SARATOGA SPRINGS,UT
P20004180,VALLEJO,CA
P20004230,NASHVILLE,TN
P20004289,OAK RIDGE,TN
P20004297,HONOLULU,HI
P20004339,YPSILANTI,MI
P20004370,TULELAKE,CA
P20004396,MOUNTAIN VIEW,CA
P20004438,WALKERTOWN,NC
P20004461,FARMINGDALE,NY
P20004487,PAIRIE DUCHINE,WI
P20004503,LAND O LAKES,FL
P20004511,BOSTON ,MA
P20004537,BRONX,NY
P20004552,SPOKANE,WA
P20004560,PROVIDENCE,RI
P20004578,,
P20004586,GREENVILLE,SC
P20004610,DETROIT,MI
P20004644,HOUSTON,TX
P20004677,SOUTHFIELD,MI
P20004701,KLAMATH FALLS,OR
P20004719,SPRINGFIELD,NE
P20004735,MOREHEAD,KY
P20004743,CULVER CITY,CA
P20004768,SAN FRANCISCO,CA
P20004776,COLUMBUS,OH
P20004792,REDWOOD CITY,CA
P20004818,BOULDER,CO
P20004834,BUENA PARK,CA
P20004842,SAINT PAUL,MN
P20004875,CHATTANOOGA,TN
P20004891,LINDEN,NJ
P20004909,GUYS MILLS,PA
P20004925,RENTON,WA
P20004933,OAKLAND,CA
P20004958,SALT LAKE CITY,
P20004982,BRAYMER,MO
P20005054,BROOKLYN,NY
P20005070,O'FALLON,MO
P20005120,KIRKSVILLE,MO
P20005138,TIMONIUM,MD
P20005161,NORTH GARDEN,VA
P20005187,ST LOUIS,MO
P20005203,CLEVELAND,OH
P20005229,PORT HUENEME,CA
P20005260,LOHRVILLE,IA
P20005302,VIRGINIA BEACH,VA
P20005310,GLADSTONE,MO
P20005328,MILLWOOD,NY
P20005336,JENKINTOWN,PA
P20005344,MONTROSE,PA
P20005351,TOPEKA,KS
P20005369,NORFOLK,VA
P40000382,SOUTH LAKE TAHOE,CA
P40000564,COLUMBIA,SC
P40000820,RICHMOND,VA
P40001109,MALIBU,CA
P40002214,MONTPELIER,VT
P40002347,CHAPEL HILL,NC
P40002404,NEW YORK,NY
P40002446,CLAYTON,NY
P40002651,MUNCIE,IN
P40002669,BUCHANAN ,VA
P40002909,NEWPORT BEACH,CA
P40003204,BANNING,CA
P40003220,METAIRIE,LA
P40003279,SAN DIEGO,CA
P40003329,VENTURA,CA
P40003519,ATLANTA,GA
P40003576,WASHINGTON,DC
P40003584,SONORA,CA
P40003592,LOS ANGELES,CA
P40003600,MCDANIELS,KY
P40003626,REDLANDS,CA
P40003642,DANVILLE,VA
P40003659,HAIKU,HI
P40003667,COLUMBUS,GA
P40003675,GUILDERLAND,NY
P40003691,TOPEKA,KS
P40003709,TOPEKA,KS
P40003717,BURKE,VA
P40003725,PROVO,UT
P40003733,BEAVERTON,OR
P40003741,PHOENIX,AZ
P40003758,IDAHO FALLS,ID
P60000452,ROUND HILL,VA
P60002086,ATLANTA,GA
P60002458,CASA GRANDE,AZ
P60002771,KOUNTZE,TX
P60003027,HALIFAX,VA
P60003076,DARNESTOWN,MD
P60003175,WESTLAKE VILLAGE,CA
P60003399,SOUTH BEND,IN
P60003456,PORTLAND,OR
P60003530,MIDLAND,TX
P60003571,IVANHOE,TX
P60003654,ATLANTA,GA
P60003670,COLUMBUS,OH
P60003993,RALEIGH,NC
P60004033,WICHITA,KS
P60004272,SPRINGFIELD,MO
P60004322,PACIFIC GROVE,CA
P60004405,JERSEY CITY,NJ
P60004488,DOVER,DE
P60004561,GREATER HOUSTON,TX
P60004777,DEERFIELD BEACH,FL
P60004785,HOLLIDAYSBURG,PA
P60004793,TALLAHASSEE,FL
P60004801,ALTA LOMA,CA
P60004819,WILLISTON,ND
P60004827,CEDAR HILL,TX
P60004835,WEAVERVILLE,CA
P60004843,SHARPSBURG,KY
P60004850,GLENDALE,AZ
P60004868,KEENE,NH
P60004876,EWING,NJ
P60004884,WASHINGTON,DC
P60004892,WAUCHULA,FL
P60004900,JAMAICA,NY
P60004918,TRENTON,FL
P60004926,PARK CITY,UT
P60004934,MIDLAND,MI
P60004942,PONTE VEDRA BEACH,FL
P60004959,CHARLESTON,SC
P60004967,ELKHART,IN
P60004975,AMITY,AR
P60004983,PAHOA,HI
P60004991,SEATTLE,WA
P60005006,GASTONIA,NC
P60005014,MONTEREY,CA
P60005022,BELHAVEN,NC
P60005030,SAN DIEGO,CA
P60005048,JUNCTION CITY,KS
P60005055,TAMPA,FL
P60005063,PARK RIDGE ,IL
P60005071,LEXINGTON PARK,MD
P60005089,HARRISBURG,NC
P60005097,HOUSTON,TX
P60005105,SPEARFISH,SD
P60005113,NEWPORT BEACH,CA
P60005121,SUGAR LAND,TX
P60005139,ONAWAY,MI
P60005147,DAVENPORT,IA
P60005162,NATCHITOCHOS,LA
P60005170,RICE LAKE ,WI
P60005188,LEXINGTON,MI
P60005196,GURNEE,IL
P60005204,ORLANDO,FL
P60005212,TUCSON,AZ
P60005246,WASHINGTON,DC
P60005253,IONIA,MI
P60005261,ASTORIA,NY
P60005279,HENDERSON,NV
P60005287,ANAHEIM,CA
P60005295,WESTLAKE ,OH
P60005303,DETROIT,MI
P60005311,NORTHPORT,NY
P60005329,BEVERLY HILLS,CA
P60005337,GAITHERSBURG,MD
P60005345,LEONARDTOWN,MD
P60005352,ORLANDO,FL
P60005360,ASHLAND,OR
P60005378,FORT MYERS,FL
P60005386,BRYAN,TX
P60005394,BUDA,TX
P60005402,MT PLEASANT,SC
P60005410,KANSAS CITY ,MO
P60005428,PORTLAND,OR
P60005436,DETROIT,MI
P60005444,CAPE CORAL,FL
P60005451,GREENVILLE,NC
P60005469,CLEVELAND,OH
P60005477,LOS ANGELES,CA
P60005485,UNION CITY,CA
P60005493,BOULDER,CO
P60005501,JAMESON,MO
P60005519,MYRTLE BEACH,SC
P60005527,TUCKERTON,NJ
P60005535,LAS VEGAS,NV
P60005543,NEWPORT,TN
P60005550,STONE MOUNTAIN,GA
P60005568,FAIR HAVEN,UT
P60005576,RAPID CITY,SD
P60005584,SACRAMENTO,CA
P60005592,OLATHE,KS
P60005600,PARADISE,CA
P60005618,BOYNTON BEACH,FL
P60005626,HOBART,IN
P60005634,DALLAS,TX
